author_id,degree,pagerank,betweenness,closeness
375,27,4.200364471196659e-05,6.346948390212304e-06,0.05838483744192687
376,27,4.334473510842231e-05,1.2489184443554244e-06,0.05676169169048083
377,28,4.3965401939797496e-05,8.352724776540068e-07,0.05799881878149717
378,28,4.3965401939797496e-05,8.352724776540068e-07,0.05799881878149717
379,28,4.3965401939797496e-05,8.352724776540068e-07,0.05799881878149717
380,28,4.3965401939797496e-05,8.352724776540068e-07,0.05799881878149717
381,39,5.099143535876446e-05,3.504433530389822e-06,0.06042915560422642
382,36,5.096160576783421e-05,3.2943400420569487e-06,0.06073189003252479
383,37,6.0583130006556247e-05,3.5084298902654884e-05,0.06133361840681936
384,29,4.772892701351854e-05,6.132444897196464e-06,0.05902244846736066
385,29,4.772892701351854e-05,6.132444897196464e-06,0.05902244846736066
386,22,3.6869059174657825e-05,4.0513935698364846e-06,0.058081796912208834
387,31,6.392708581312235e-05,3.0268503499186597e-05,0.0573358989405972
388,40,5.5344779336785634e-05,4.018006479585184e-05,0.06237346840892872
389,25,3.6469385419967174e-05,3.074411143677867e-06,0.05702033144193672
390,51,6.81420305981883e-05,7.066493510512253e-05,0.06405215554028372
391,72,9.40472006524877e-05,0.00020071165294660437,0.06672823848839465
392,56,8.035982458605305e-05,5.138741649657252e-05,0.06485770084504812
